pressao_atm_max,pressao_atm_min,chuva_mm,temp_ar_max,temp_ar_min,umid_relat_max,umid_relat_min,rad_solar_total,temp_max,temp_min,temp_ar_media,umid_relat_media,vento_veloc,rad_solar_media,et0
619.5513,599.9329,0.254,24.494,24.214,96.826,96.214,1478.49,23.94131,23.63924,24.35744,96.57234,0.015833,4.106918,0.002045
619.5574,599.8901,0,24.754,24.464,96.472,94.128,1473.536,24.00219,23.65829,24.62766,95.24924,0.516458,4.093156,0.003991
619.3926,599.7466,0,24.654,23.952,94.447,91.18,1464.25,23.71903,22.49048,24.18502,92.34437,0.228125,4.06736,0.003562
600.8608,599.7375,0,23.993,23.572,95.46,91.867,1410.459,23.09885,22.50435,23.84216,93.90744,0,3.917942,0.001924
600.4976,600.1832,0,23.792,23.392,97.359,95.436,1371.359,23.14478,22.76277,23.54463,96.48438,0,3.80933,0.001867
600.467,599.826,0,23.622,23.312,98.277,97.35,1349.009,23.28298,22.93493,23.40505,97.9081,0.011528,3.747248,0.001854
600.1282,599.8107,0,23.912,23.632,97.82,95.176,1385.925,23.36432,23.05162,23.78294,96.59721,0.007361,3.849791,0.001907
600.8975,599.7344,0,24.424,23.903,95.23,93.025,1444.166,23.29869,23.07886,24.14396,94.16627,0.0225,4.011571,0.003665
618.9316,599.7497,0,25.626,24.362,93.109,86.554,1683.145,23.53563,22.93957,24.84287,90.40189,0.808333,4.675404,0.011477
619.1331,599.6978,0,26.568,25.396,86.914,79.1,2016.042,23.40967,22.4852,26.09037,82.7552,1.734793,5.600116,0.032914
619.1728,599.7344,0,27.81,26.607,79.718,72.14,2154.378,23.30993,22.17801,27.37757,75.43269,1.486597,5.984383,0.041049
619.7497,599.7344,0,29.541,27.579,72.878,66.488,2532.921,23.04484,22.02686,28.72607,69.16381,1.411389,7.035892,0.050176
619.9573,599.7222,0,30.84,29.16,68.039,57.941,2497.564,22.90199,21.29264,29.88292,62.55668,1.968889,6.937679,0.080463
620.1771,599.765,0,32.226,30.34,59.911,52.629,2619.852,22.33635,20.98647,31.26755,56.58834,1.9575,7.277368,0.094522
620.2686,599.7222,0,32.808,31.26,57.1,50.351,2133.013,22.82809,20.75943,31.9238,53.86086,1.456389,5.925036,0.077588
620.3144,599.8657,0,35.195,31.7,53.924,42.826,3024.771,22.4059,20.319,33.76735,48.3148,1.727084,8.402141,0.105108
620.2625,599.7222,0,34.806,33.636,45.988,41.433,1879.31,21.09876,18.90853,34.12356,43.26298,2.064514,5.220306,0.132214
600.9463,599.7283,0,34.365,33.337,45.396,41.616,1690.067,20.62369,19.05236,33.78838,43.79284,2.332917,4.69463,0.144652
620.3724,599.7619,0,33.667,31.499,51.843,44.464,1497.11,20.54039,19.71828,32.58725,48.11691,2.315625,4.158638,0.129871
620.0947,599.7497,0,31.499,29.38,59.908,51.802,1442.958,20.8976,19.97827,30.1612,55.77972,1.803194,4.008216,0.066924
620.0977,599.7405,0,29.63,27.888,64.925,57.417,1469.198,20.79347,20.27025,28.52523,61.53061,1.108264,4.081106,0.039331
619.9786,599.7375,0,28.76,27.669,67.348,60.669,1513.872,21.11704,20.36586,28.19268,63.96786,2.163125,4.205199,0.058852
620.3144,599.6948,0,27.708,26.598,74.443,67.275,1550.262,21.7153,21.04041,27.07538,70.97234,1.566111,4.306282,0.037304
619.6978,599.7802,0,26.628,25.836,81.148,74.355,1583.722,22.48644,21.69225,26.28947,77.67128,1.620695,4.399227,0.029134
620.2686,599.7344,0,25.866,25.376,85.722,81.031,1560.936,22.84801,22.34544,25.62393,83.418,0.772708,4.335932,0.01306
620.2747,599.7955,0,25.376,24.966,88.178,85.75,1535.298,22.9396,22.82337,25.1783,87.05656,0.927431,4.264717,0.011809
620.2778,599.8412,0,24.995,24.574,90.574,88.174,1492.631,23.01167,22.84599,24.73599,89.58311,0.474167,4.146198,0.006356
619.9542,599.9207,0,24.703,24.535,91.05,90.226,1524.863,23.06876,22.95354,24.6184,90.65825,1.226181,4.235732,0.010528
600.9554,599.8199,0,24.695,24.173,91.949,90.144,1519.042,23.00711,22.77641,24.40055,91.17746,0.474097,4.219563,0.005649
620.1435,599.826,0,24.554,24.334,91.392,88.926,1508.116,22.96138,22.48578,24.45532,90.25966,1.199237,4.189212,0.010703
620.0458,599.9176,0,24.434,24.253,89.462,88.867,1501.143,22.5469,22.40084,24.35842,89.14307,0.821458,4.169842,0.009206
600.9585,599.8107,0,24.564,24.132,90.958,89.457,1580.97,22.85361,22.5049,24.28541,90.32513,1.201111,4.391583,0.014565
620.1526,599.7344,0,26.777,24.554,90.012,76.77,2166.092,23.0017,22.02163,25.58641,83.64,1.561667,6.016923,0.029031
620.1954,599.7344,0,28.791,26.777,77.136,65.792,2727.53,22.61808,21.43024,27.84215,71.15877,2.07257,7.576472,0.063883
620.2015,599.7344,0,29.83,27.95,67.703,60.977,2341.099,22.0861,21.03431,28.68769,64.96479,2.352916,6.503054,0.085408
620.2289,599.7497,0,30.31,28.619,64.542,58.429,2179.881,22.16927,20.9845,29.44474,61.84368,1.634514,6.055225,0.068876
600.9341,599.8077,0,31.858,29.859,59.382,50.623,2300.856,21.68118,20.04182,30.77296,55.01276,2.181597,6.391268,0.105587
620.2534,599.8046,0,33.816,30.779,53.341,44.3,2325.925,21.37113,19.55862,31.89135,50.20204,1.984444,6.460903,0.109443
620.2625,599.7955,0,34.537,32.568,47.49,41.587,2459.118,20.94949,18.68303,33.48756,44.18616,1.937986,6.830883,0.123061
620.061,599.7497,0,35.503,32.898,45.927,37.115,2441.737,20.93104,18.44815,34.12648,41.2905,1.748888,6.782603,0.119231
620.3785,599.9329,0,36.181,33.806,41.898,34.726,2297.297,19.90422,17.95121,35.35737,37.44646,1.854722,6.381381,0.135637
620.2869,599.9207,0,36.261,34.224,38.47,33.958,1797.071,18.86597,17.47466,35.12484,36.45516,2.03625,4.991864,0.147954
620.3022,599.8016,0,35.132,33.068,44.057,36.347,1553.29,19.60986,17.61937,33.93176,40.86067,2.202984,4.314695,0.144604
620.4579,599.7009,0,33.078,30.888,51.955,43.021,1473.384,19.89311,18.8328,32.27953,46.25304,2.519237,4.092733,0.107689
620.4731,599.6612,0,30.9,29.1,59.853,51.916,1503.629,20.56078,19.84564,29.97024,55.82051,2.381874,4.176746,0.080405
620.3113,599.7344,0,29.109,27.768,66.792,59.91,1553.843,21.16117,20.51821,28.4319,63.7647,2.174584,4.31623,0.059814
620.3358,599.7466,0,27.848,26.738,73.816,66.033,1614.972,21.70115,20.90994,27.32021,69.33987,1.931111,4.486033,0.045648
620.2991,599.826,0,26.738,25.988,82.262,73.816,1625.32,22.76281,21.69187,26.37921,77.75539,1.629861,4.514777,0.029245
620.2625,599.7466,0,25.997,25.586,85.246,82.292,1621.148,23.04424,22.69927,25.72685,84.25391,1.405556,4.50319,0.018883
620.2656,599.8474,0,25.705,25.486,85.16,84.273,1625.614,22.98668,22.80872,25.61842,84.70363,1.751181,4.515595,0.02111
620.2381,599.8382,0,25.506,25.134,86.144,84.934,1595.027,22.84033,22.66007,25.37693,85.41264,1.339375,4.430632,0.016889
601.4591,599.765,0,25.216,24.716,88.676,86.074,1501.837,22.83144,22.64963,24.99528,87.27579,0.41132,4.17177,0.006772
600.9371,599.7222,0,24.876,24.564,88.292,85.738,1498.602,22.73432,22.05898,24.74722,86.63359,1.187848,4.162784,0.014123
600.9249,599.7222,0,24.674,24.222,86.367,84.855,1493.232,22.10393,21.76622,24.4548,85.57544,1.227708,4.147866,0.015331
619.9847,599.7344,0,24.334,23.852,88.109,85.982,1472.431,21.87753,21.75346,24.08024,87.13418,1.03632,4.090087,0.012254
620.235,599.7009,0,24.574,23.732,88.496,83.258,1560.545,21.80627,21.50577,24.02228,86.59105,1.045972,4.334848,0.016901
619.8474,599.8718,0,26.768,24.542,83.15,71.062,2111.082,21.55132,21.02752,25.53789,77.1249,1.811666,5.864118,0.04345
600.9463,599.7527,0,29,26.437,71.292,60.701,2708.445,21.62296,20.35719,27.44182,67.54096,2.386389,7.523458,0.07913
620.0336,599.7375,0,30.67,28.49,61.678,52.037,3031.253,20.8432,19.42047,29.5874,56.32175,2.361112,8.420148,0.108805
620.2625,599.7436,0,31.9,29.74,56.459,48.359,3167.074,20.45995,19.21734,30.85207,51.52675,2.033889,8.797428,0.108706
620.1008,599.7161,0,33.318,31.13,49.992,41.091,3384.335,19.96561,18.15294,32.39773,45.28017,2.397501,9.40093,0.144404
620.3297,599.7955,0,34.704,32.518,43.603,34.609,3157.463,19.17586,16.54081,33.674,39.05526,2.360833,8.770731,0.160947
620.3602,599.7619,0,35.702,33.775,40.97,33.255,3045.631,18.77345,16.78863,34.84306,35.89237,2.33264,8.460087,0.1702
620.4731,599.7589,0,36.669,34.704,37.714,31.816,2550.701,18.47774,16.68791,35.6785,34.06134,1.775278,7.08528,0.138492
620.2442,599.7619,0,36.64,34.335,36.384,31.404,2292.584,18.51187,16.76207,35.5639,33.93798,1.892361,6.368289,0.145989
620.5739,599.6887,0,36.589,34.904,35.351,31.394,1952.705,17.95912,16.71417,35.84861,33.36221,1.465277,5.424181,0.116987
620.0977,599.7497,0,35.931,34.146,36.143,32.302,1628.729,17.58978,16.31592,34.57635,34.68262,1.679098,4.524247,0.126534
620.0671,599.8901,0,34.224,31.138,50.017,35.026,1540.422,19.52067,16.37814,32.89009,41.04622,2.041876,4.278951,0.103801
619.9542,599.7955,0,31.13,28.66,61.897,50.144,1543.746,20.68408,19.50618,29.71986,56.74839,3.019165,4.288184,0.090668
620.2717,599.8168,0,28.66,27.168,69.609,61.956,1608.349,21.17348,20.65914,27.81606,66.2279,2.311736,4.467635,0.0571
620.2076,599.765,0,27.158,26.346,76.678,69.634,1637.222,21.96435,21.13109,26.69666,73.10571,2.054652,4.54784,0.041146
620.1801,599.9329,0,26.356,25.666,81.508,76.71,1640.823,22.29014,21.95462,25.95198,79.61355,1.680694,4.557842,0.027173
620.406,599.7497,0,25.705,25.426,83.232,81.451,1624.688,22.44836,22.24087,25.57011,82.29871,2.008819,4.513021,0.026315
620.3052,599.7955,0,25.486,25.056,85.072,82.945,1618.69,22.45494,22.33505,25.27382,84.07881,1.871597,4.496361,0.022605
620.3236,599.7253,0,25.094,24.844,86.195,85.117,1584.511,22.51602,22.31345,24.93682,85.82091,1.756181,4.40142,0.019302
620.2961,599.826,0,24.934,24.664,86.52,85.531,1556.412,22.36877,22.18842,24.76151,85.99205,1.361458,4.323366,0.016157
600.8608,599.7344,0,24.674,24.222,89.273,86.51,1530.27,22.41285,22.26896,24.48251,87.83854,1.576389,4.250749,0.015453
620.3113,599.7802,0,24.263,23.972,90.898,88.57,1508.368,22.47173,22.19573,24.12119,89.98343,1.121458,4.18991,0.010427
620.2595,599.826,0,24.343,24.182,88.542,87.382,1521.111,22.20096,22.04618,24.26352,87.72265,1.548958,4.225308,0.015316
620.0916,599.7955,0,24.794,24.054,89.207,85.029,1651.222,22.36877,22.10913,24.29049,88.11063,1.724791,4.586729,0.022418
619.9451,599.8565,0,26.688,24.825,85.154,69.8,2163.797,22.20566,20.49059,25.48283,78.19033,2.254376,6.010548,0.049513
620.3022,599.7375,0,28.609,26.116,70.748,55.742,2769.933,20.7803,18.77746,27.69882,62.28102,2.453959,7.694258,0.093773
620.0549,599.7131,0,30.85,28.478,57.341,47.497,2736.457,19.56701,18.16209,29.60541,52.29115,2.719097,7.601268,0.132441
620.3022,599.7222,0,32.199,30.16,50.712,44.154,2962.817,19.38988,18.10887,31.12702,47.52891,2.976458,8.230048,0.161606
620.2534,599.765,0,33.296,31.589,46.8,39.019,2932.575,19.26439,17.12916,32.25126,43.10262,2.844862,8.146041,0.171752
619.8718,599.826,0,34.964,32.758,42.228,34.064,3087.826,18.68549,16.45941,33.63014,38.39542,2.238472,8.577293,0.155091
620.4609,599.765,0,35.771,33.806,39.692,31.121,2995.205,18.845,15.86035,34.74894,34.42808,2.07882,8.320013,0.157037
620.3113,599.6734,0,36.66,34.614,34.32,29.443,2517.699,17.65669,15.45702,35.58229,32.13165,2.226807,6.993609,0.173584
620.0458,599.765,0,36.9,35.433,33.458,28.787,2214.503,17.30301,15.11517,36.16083,30.68077,1.747778,6.151398,0.143598
620.2869,599.7802,0,36.469,35.035,32.352,29.564,1940.137,16.83903,15.42564,35.9086,30.64702,1.706112,5.38927,0.139491
620.2656,599.7802,0,36.312,34.496,33.226,30.126,1698.94,16.47596,15.74785,35.28253,31.80818,1.394305,4.719278,0.11293
620.6197,599.7558,0,34.486,30.91,44.5,32.806,1597.928,17.46323,15.69195,32.71923,38.3911,2.141389,4.438688,0.11169
620.2045,599.8687,0,30.9,28.791,54.067,44.462,1598.604,18.60674,17.40893,29.74977,49.74556,2.313541,4.440567,0.089091
620.2991,599.7711,0,28.791,27.348,62.953,54.001,1609.677,19.71298,18.56696,28.1266,58.17955,1.717153,4.471324,0.05825
620.6014,599.9084,0,27.358,26.418,69.35,62.953,1622.57,20.381,19.68256,26.81119,66.81786,1.715555,4.507139,0.044902
620.4335,599.7955,0,26.448,25.836,76.18,69.412,1644.216,21.39751,20.38537,26.12709,72.61449,1.862431,4.567266,0.038674
619.8993,599.7497,0,25.907,25.576,80.77,76.203,1664.171,22.1818,21.38408,25.76448,78.9192,1.635069,4.622696,0.027422
620.406,599.7497,0,25.788,25.686,82.205,80.766,1639.199,22.48366,22.14968,25.73929,81.34901,1.331806,4.553329,0.021308
620.2869,599.7497,0,25.724,25.474,83.693,82.027,1620.367,22.55933,22.32752,25.58099,82.61324,1.622986,4.50102,0.022633
619.9268,599.71,0,25.474,25.075,84.951,82.132,1603.661,22.64155,22.13068,25.31518,83.84203,1.310556,4.454614,0.018249
620.3724,599.8901,0,25.085,24.716,86.273,84.775,1534.638,22.39791,22.26856,24.94445,85.36566,0.896597,4.262885,0.012764
619.8749,599.8443,0,24.735,24.334,87.93,86.27,1480.63,22.37975,22.19678,24.52547,87.35033,0.31507,4.112861,0.005661
619.9054,599.8229,0,24.382,23.722,90.014,87.746,1428.123,22.27114,21.8498,24.02794,88.83997,0.116181,3.967008,0.003184
600.9005,599.7253,0,24.774,23.742,89.104,83.564,1530.509,21.87601,21.55434,24.14933,86.06335,0.981875,4.251415,0.016626
600.9341,599.8871,0,25.917,24.716,83.384,76.226,1918.546,22.07961,21.20345,25.26437,80.00718,1.748333,5.329295,0.036906
620.2595,599.7497,0,27.728,25.646,76.365,68.246,2381.864,22.03649,21.0042,26.73944,72.19024,1.783265,6.616288,0.052982
620.3389,599.765,0,30.291,27.018,70.949,57.897,2699.46,22.15374,20.76402,28.65432,64.79466,1.645833,7.498499,0.064425
620.3999,599.6978,0,31.56,28.85,62.523,52.703,2543.965,21.46025,20.03917,30.01203,57.17723,1.624028,7.06657,0.077813
620.1649,599.7375,0,33.794,30.58,55.994,43.33,3226.893,21.3403,19.04276,32.09611,49.96494,1.297292,8.963592,0.078255
620.174,599.765,0,35.173,32.199,47.804,38.131,3569.178,20.71204,18.49366,33.72522,42.81272,1.837084,9.914383,0.123033
620.4579,599.7802,0,36.001,33.318,41.414,34.917,3071.366,19.85945,17.80853,34.92981,38.08667,1.920902,8.531572,0.139294
620.5677,599.7527,0,36.929,33.974,39.185,33.453,2807.209,19.83167,17.56585,35.43299,36.14812,2.00243,7.797804,0.149321
620.2198,599.7497,0,37.287,34.894,35.919,32.142,2419.101,18.82097,16.89518,36.1371,33.72501,1.367083,6.719725,0.110819
620.2015,599.8871,0,36.919,34.786,35.41,30.562,1949.75,18.27428,16.36275,36.15263,32.24332,1.448403,5.415971,0.118149
620.3755,599.8077,0,36.312,32.488,43.92,31.256,1614.934,18.66904,16.02629,34.35732,37.11332,2.107153,4.485927,0.148783
620.4976,599.7711,0,32.628,30.541,49.693,43.76,1532.48,19.21351,18.65571,31.48519,47.54797,2.905209,4.256888,0.112796
620.2747,599.71,0,30.541,29.24,52.791,49.361,1555.127,18.80213,18.34062,29.88525,50.52226,2.292291,4.319798,0.087496
620.348,599.8412,0,29.27,27.97,62.404,52.759,1567.033,20.13553,18.62852,28.64881,56.94557,1.847708,4.35287,0.063873
620.3969,599.7619,0,27.958,26.678,71.344,62.433,1615.963,21.09365,20.11457,27.30449,67.03248,2.615209,4.488787,0.059258
620.29,599.7344,0,26.699,25.878,79.023,71.402,1625.075,21.9862,21.10274,26.27191,74.85677,1.905694,4.514097,0.036297
620.1801,599.7955,0,25.897,25.474,84.402,79.048,1624.536,22.6983,21.98362,25.62336,82.23422,1.820694,4.512599,0.024881
620.3328,599.7344,0,25.537,25.316,85.964,84.367,1614.307,22.86195,22.66542,25.45296,85.13517,1.565417,4.484185,0.019058
620.2869,599.7497,0,25.306,25.146,86.617,85.934,1557.089,22.87066,22.73109,25.24074,86.25866,1.152153,4.325246,0.014417
620.3022,599.7802,0,25.376,25.126,86.617,85.402,1519.517,22.87066,22.71562,25.26561,86.06426,0.508264,4.220881,0.008385
620.116,599.7802,0,25.436,25.134,86.482,85.076,1495.04,22.81823,22.7021,25.33957,85.56604,0.790416,4.15289,0.011639
619.8107,599.7955,0,25.175,24.896,87.632,86.476,1461.523,22.88465,22.63874,25.05616,87.18398,1.135417,4.059787,0.013278
600.235,599.7344,0,24.954,24.494,88.365,87.076,1448.841,22.695,22.44983,24.75213,87.57585,0.676736,4.024559,0.009085
600.931,599.7497,0,24.986,24.324,89.754,88.336,1467.07,23.00289,22.38318,24.52273,89.14039,0.237014,4.075195,0.006169
619.9695,599.7802,0,27.56,24.995,88.684,69.945,2045.382,23.44802,21.36814,26.05943,81.78053,1.786251,5.681617,0.035361
600.9707,599.7283,0,29.529,27.438,70.613,59.404,2639.695,21.94912,20.62469,28.45564,64.56172,2.48,7.332486,0.090323
600.9646,599.8382,0,30.58,28.31,63.587,54.315,2459.544,21.40665,20.11346,29.4014,59.51342,2.542431,6.832067,0.106168
620.3358,599.7741,0,32.357,29.75,57.946,48.439,3214.267,21.04317,19.74203,31.06701,53.05168,2.517013,8.928519,0.126676
620.4731,599.7344,0,33.787,31.7,50.604,42.109,3333.729,21.02588,18.67747,32.90561,45.96415,2.321319,9.260357,0.139949
620.1679,599.7375,0,35.363,33.248,46.368,37.293,3371.581,20.36841,18.20262,34.46177,40.72575,1.764584,9.365503,0.123901
620.5189,599.6978,0,36.57,33.816,42.375,34.369,3233.788,20.11109,17.67735,35.25557,37.57372,2.109652,8.982744,0.153435
620.3602,599.7619,0,36.609,34.435,38.489,33.404,2457.489,19.68566,16.99561,35.44009,35.46949,1.894652,6.826358,0.142959
620.6319,599.7222,0,36.628,34.384,37.806,32.125,2248.623,18.83924,16.69066,35.55605,34.33875,1.74868,6.246174,0.1352
601.1783,599.7924,0,36.51,35.144,34.66,31.718,1965.615,18.04776,16.52422,35.94722,32.90771,1.815139,5.460042,0.142907
620.6594,599.7497,0,35.513,32.457,45.8,33.14,1593.98,19.31356,16.53423,34.29674,36.80198,2.125972,4.427722,0.150496
620.2656,599.7283,0,32.488,30.58,53.166,45.833,1542.537,19.99006,19.25692,31.52669,49.45361,2.751458,4.284824,0.105214
620.5342,599.9329,0,30.57,29.25,56.544,53.099,1564.56,20.07233,19.71583,29.78732,55.43862,2.369514,4.346001,0.080456
620.4091,599.765,0,29.279,28.29,61.125,56.483,1574.905,20.11502,19.60727,28.80071,58.31071,2.040902,4.374736,0.066483
600.9554,599.7802,0,28.31,27.136,67.8,61.189,1596.171,20.72905,20.11239,27.75946,64.14091,2.27625,4.433808,0.059843
620.3358,599.8107,0,27.158,26.288,77.402,67.822,1600.795,22.06511,20.68294,26.59401,72.52448,1.702362,4.446653,0.037012
620.3724,599.768,0,26.318,25.746,83.98,77.422,1628.02,22.87982,22.0403,25.97292,81.57799,2.345693,4.522277,0.030371
620.3999,599.7924,0,25.766,25.626,84.754,83.941,1619.543,22.95397,22.8104,25.70726,84.32473,1.917291,4.498731,0.022898
620.0305,599.7222,0,25.736,25.355,86.781,84.191,1590.639,23.03513,22.84866,25.57075,85.23437,1.638889,4.41844,0.019544
619.8779,599.7802,0,25.384,25.114,87.178,86.496,1547.678,23.06743,22.76177,25.26323,86.87091,1.616876,4.299105,0.017216
600.9493,599.7344,0,25.165,24.864,88.386,86.73,1560.955,22.90719,22.76429,25.00915,87.60045,1.992292,4.335986,0.018418
620.2503,599.8107,0,24.884,24.716,88.238,87.031,1556.653,22.80161,22.52908,24.80246,87.67468,1.659027,4.324036,0.016308
620.2289,599.7344,0,24.774,24.654,89.102,87.785,1523.623,22.79354,22.58942,24.72404,88.30399,1.421528,4.232286,0.01408
620.1191,599.765,0,24.864,24.523,89.625,88.334,1585.05,22.88818,22.70735,24.67765,89.19245,1.076181,4.402916,0.014803
620.1679,599.826,0,25.856,24.844,88.449,84.476,1865.238,23.2304,22.80505,25.40087,86.40966,1.606944,5.181216,0.024751
620.2137,599.8321,0,29.35,25.766,84.422,66.945,2620.94,23.72259,22.31168,27.14699,78.29022,1.917082,7.280389,0.045754
620.1496,599.7344,0,31.17,28.451,69.77,54.904,3124.563,22.86965,20.47381,29.65018,62.75278,2.13875,8.679343,0.08668
620.3236,599.707,0,32.988,29.76,59.292,45.464,2874.826,21.63294,19.21604,31.10249,53.10444,1.900973,7.985628,0.099398
620.3389,599.7192,0,33.816,31.138,51.651,41.632,2889.43,20.28475,18.52122,32.05898,47.42894,2.068056,8.026196,0.120952
620.4976,599.7527,0,35.013,32.457,47.231,39.945,3179.032,20.48116,18.8186,33.6715,43.24866,2.13375,8.830645,0.137879
620.2015,599.8351,0,35.714,33.318,44.189,36.722,3123.992,20.47643,18.18433,34.3758,40.53722,1.683542,8.677756,0.118639
620.0031,599.7497,0,36.469,33.896,41.191,34.011,2513.73,20.42907,17.75824,35.04893,37.69046,1.392014,6.982583,0.104781
620.4335,599.6856,0,36.261,34.066,37.94,33.58,2018.956,19.06208,16.98929,35.20995,35.37495,1.634583,5.608212,0.124255
620.2473,599.8107,0,36.261,34.923,35.138,31.442,1920.707,17.60942,16.27332,35.47041,33.27129,1.75875,5.335298,0.137138
620.3846,599.9084,0,36.142,34.205,36.14,31.782,1708.47,17.38681,16.52973,35.14361,34.09094,2.050486,4.745751,0.154132
620.1679,599.7802,0,34.197,30.35,53.775,36.273,1542.231,19.95232,17.13173,31.80647,47.64631,3.1325,4.283975,0.119037
620.2625,599.7711,0,30.34,28.68,60.203,53.837,1565.078,20.34074,19.93886,29.33833,57.89812,2.244168,4.347439,0.072536
